Ace of Aces
Alien Brigade
Asteroids (1979)
Asteroids Deluxe
Astro Blaster (1981)
Ballblazer
Barnyard Blaster (1988)
Basketbrawl
BurgerTime (1982)
Centipede (1981)
Choplifter
Commando
Crack'ed
Crossbow
Dark Chambers (Atari 7800)
Demoniak
Dig Dug (1982)
Donkey Kong
Donkey Kong Jr.
Double Dragon
Fatal Run (1990)
Fight Night
Food Fight
Frenzy
Galaga (1981)
Ikari Warriors (1986)
Impossible Mission
Joust
Jr. Pac-Man
Karateka (1985)
Klax
Kung-Fu Master
Mario Bros. (1983)
Mat Mania – The Prowrestling Network
Mean 18
Midnight Mutants
MiG Alley Ace
Moon Cresta
Motor Psycho
Ms. Pac-Man
Munchkin
Nebulus
Ninja Golf
One on One: Dr. J vs. Larry Bird
Pac-Man Collection (2001)
Pac-Man Plus
Pete Rose Baseball
Pole Position II
Rampage
Rip-Off
Robotron: 2084
Scramble (1981)
Scrapyard Dog
Space Duel
Space Invaders (1978)
Summer Games
Super Huey
Super Pac-Man
Super Skateboardin' (1988)
Tower Toppler (Nebulus)
Winter Games
Winter Games (2009)
Xenophobe
Xevious (1983)
