Aero the Acro-Bat
Alien vs Predator (Atari Jaguar)
Another World
Atari Karts
Baldies
Brain Dead 13
Brutal Sports - Football
Cannon Fodder
DOOM
Double Dragon V: The Shadow Falls
Dragon: The Bruce Lee Story
Dragon's Lair
Fever Pitch Soccer
Flashback: The Quest for Identity
Iron Soldier
Kasumi Ninja
Myst
Pinball Fantasies (1992)
Pitfall: The Mayan Adventure
Primal Rage
Raiden (1991)
Rayman
Robinson's Requiem
Soccer Kid (1993)
Space Ace
Space Ace (1984)
Switchblade
Syndicate
Syndicate (1993)
Tempest 2000
The Humans
Theme Park
Total Carnage (1992)
Towers 2: Plight of the Stargazer
Treasure Island Dizzy
Troy Aikman NFL Football
Wolfenstein 3D
Worms
Xenon 2: Megablast
Zool 2
