3D Baseball
3D Lemmings
Albert Odyssey: Legend of Eldean
Alien Trilogy
Alone in the Dark 2
AMOK (1996)
Andretti Racing
Arcade's Greatest Hits: The Atari Collection 1
Area  51
Area 51
Arthur to Astaroth no Nazomakaimura: Incredible Toons
Assault Rigs
Assault Suit Leynos 2
Astal
Astra Superstars
Atlantis: The Lost Tales
Baldies
Bandit Kings of Ancient China
Baroque (1998)
Bases Loaded '96: Double Header
Batman Forever: The Arcade Game
Batsugun
Battle Arena Toshinden
Battle Monsters
Battle Stations
BattleSport
Black Dawn
Black Fire (1995)
Blast Chamber
Blazing Dragons
Bomberman Wars
Brain Dead 13
BreakThru!
Bug Too!
Bug!
Bulk Slash
Burning Rangers
Capcom Generation 1: Dai 1 Shuu Gekitsuiou no Jidai
Capcom Generation 2: Dai 2 Shuu Makai to Kishi
Capcom Generation 3: Dai 3 Shuu Koko ni Rekishi Hajimaru
Capcom Generation 4: Dai 4 Shuu Kokou no Eiyuu
Capcom Generation 5: Dai 5 Shuu Kakutouka Tachi
Casper
Castlevania: Symphony of the Night
Chaos Seed
Cho Aniki: Kyuukyoku Muteki Ginga Saikyou Otoko
Cleopatra Fortune
Clockwork Knight 2: Pepperouchau's Adventure
Clockwork Knight: Pepperouchau's Adventure
College Slam
Command & Conquer
Congo the Movie: The Lost City of Zinj
Contra: Legacy of War
Corpse Killer
Creature Shock (1996)
CrimeWave
Criticom
Croc: Legend of the Gobbos
Crusader: No Remorse
Crypt Killer
Cyber Speedway
Cyberbots: Full Metal Madness
Cyberia
D
D-Xhird
Daikoukai Jidai Gaiden
Darius Gaiden
Darius II
Dark Savior
Dark Seed
Dark Seed II
Darklight Conflict
Darkstalkers 3
DAYTONA USA
Daytona USA: Championship Circuit Edition
Dead or Alive
Deep Fear (1998)
Defcon 5
Derby Stallion
DESIRE - Haitoku no Rasen
Destruction Derby
DeviceReign
Die Hard Arcade
Die Hard Trilogy
Digital Monster Ver. S
Digital Pinball: Last Gladiators
Discworld
Discworld II: Missing Presumed...!?
DoDonPachi
DonPachi
DOOM
Double Switch
Doukyuusei 2
Doukyuusei If
Dragon Ball Z: Idainaru Dragon Ball Densetsu
Dragon Force
Duke Nukem 3D
Dungeon Master Nexus
Dungeons & Dragons Collection
Earthworm Jim 1+2: The Whole Can 'O Worms
Earthworm Jim 2
Elevator Action: Returns
Enemy Zero
F1 Challenge (1996)
Fantasy Zone (1986)
Far East of Eden: The Apocalypse IV
Farland Saga: Toki no Michishirube
Farland Story 2
FEDA Remake! The Emblem of Justice
FIFA 97
FIFA Soccer 96
Fighters Megamix
Fighting Vipers
Fire Pro Gaiden: Blazing Tornado
Firestorm: Thunderhawk 2
Frank Thomas Big Hurt Baseball
Friends: Seishun no Kagayaki
Galaxy Fight: Universal Warriors
Gex
Ghen War
Gihren's Greed
Gotha
Gradius 2
Grandia
Grandia Digital Museum
Grid Runner
Guardian Heroes
GUARDIAN HEROES (TM)
Gulliver Boy
Gunbird
GunGriffon
GunGriffon 2
Gussun Oyoyo
Hang-On
Hang-On GP
Hebereke's Popoitto
Herc's Adventures
HeXen: Beyond Heretic
Hi-Octane
High Velocity
Hokuto no Ken (1996)
In the Hunt
Independence Day
Initial D: Koudou Saisoku Densetsu
Iron Man and X-O Manowar in Heavy Metal
Iron Storm (1996)
Ironman/X-O Manowar in 'Heavy Metal'
Johnny Bazookatone
Jonah Lomu Rugby
Kidou Senshi Gundam Gaiden Vol. 1
Kidou Senshi Gundam Gaiden Vol. 2
Kidou Senshi Gundam Gaiden Vol. 3
Krazy Ivan
Last Bronx
Linda³
Linkle Liver Story
Loaded
Lode Runner: The Legend Returns
Lucienne's Quest
Lunacy
Lunar: The Silver Star
Macross: Do You Remember Love
Madden NFL 98
Magic Carpet
Magic Knight Rayearth
Magical Drop
Magical Drop II
Manx TT Superbike
Marie no Atelier: Salburg no Renkinjutsushi
Marvel Super Heroes
Marvel Super Heroes vs. Street Fighter
Mass Destruction
Mass Destruction (1997)
Master of Monsters: Disciples of Gaia
Maximum Force
MechWarrior 2: 31st Century Combat
Mega Man 8 (1996)
Mega Man X3 (1995)
Mega Man X4 (1997)
Minnesota Fats: Pool Legend
Mobile Suit Gundam
Mortal Kombat 2
Mortal Kombat Trilogy
Mr. Bones
Myst
Mystaria: The Realms of Lore
Nanatsu Kaze no Shima Monogatari
NASCAR 98
NBA Fastbreak '98
NBA Jam Extreme
NBA Live 97
NBA Live 98
Neon Genesis Evangelion: Iron Maiden
NFL '97
NFL Quarterback Club 97
NHL 97
NHL 98
NHL All-Star Hockey '95
Night Warriors: Darkstalkers' Revenge
NiGHTS into dreams...
Ninja Hayate
Nippon Pro Mahjong Renmei Kounin: Doujou Yaburi
Norse by Norse West: The Return of the Lost Vikings
Off-World Interceptor
Ogre Battle: The March of the Black Queen
Olympic Soccer
Out Run
P.T.O. II
Pandemonium!
Panzer Dragoon (1995)
