1942,
10000000 in 1,
10-Yard Fight,
1943: The Battle of Midway,
1991 Du Ma Racing,
8 Eyes,
A Boy and His Blob: Trouble on Blobolonia,
A Nightmare on Elm Street (1990),
A Nightmare on Elm Street: Son of a Hundred Maniacs (DEMAKE),
Abadox,
Action 52,
Advanced Dungeons & Dragons: Heroes of the Lance,
Adventure Island (1986),
Adventure Island II (1991),
Adventure Island III (1992),
Adventure Island IV,
Adventures in the Magic Kingdom,
Adventures of Dino Riki,
Adventures of Lolo (1989),
Adventures of Lolo 2 (1990),
Adventures of Lolo 3,
After Burner,
After Burner II,
Aighina no Yogen: From the Legend of Balubalouk,
Air Fortress,
Air Zonk (1992),
Airwolf,
Akira,
Akumajou Special: Boku Dracula-kun,
Al Unser Jr.'s Turbo Racing,
Alfred Chicken,
Alien Syndrome (1987),
ALIEN³,
All-Pro Basketball,
Alpha Mission (1986),
Altered Beast (1988),
Alwa's Awakening,
Amagon,
American Gladiators,
Ankoku Shinwa: The Dark Myth,
Antarctic Adventure,
Anticipation,
Arabian,
Arch Rivals,
Archon: The Light and the Dark,
Arkanoid (1986),
Arkanoid 2: Revenge of DoH,
Arkista's Ring,
Armed Dragon Fantasy Gaiden,
Asterix (1993),
Athena (1986),
Athletic World,
Attack of the Killer Tomatoes,
Aussie Rules Footy,
Baby Boomer,
Back to the Future,
Back to the Future Part II & III,
Bad Dudes,
Bad Dudes Vs. DragonNinja,
Bad News Baseball,
Bad Street Brawler,
Ballblazer,
Balloon Fight (1985),
Banana Prince,
Bandai Golf: Challenge Pebble Beach,
Bandit Kings of Ancient China,
Barbie,
Barker Bill's Trick Shooting,
Base Wars,
Baseball (1983),
Baseball Simulator 1.000,
Baseball Stars,
Baseball Stars 2 (1992),
Bases Loaded (1987),
Bases Loaded 3,
Bases Loaded 4,
Bases Loaded II: Second Season,
Bat Lizard Bonanza,
Batman Returns (Nintendo),
Batman: Return of the Joker,
Batman: The Video Game,
Battle Chess,
Battle City,
Battle Kid: Fortress of Peril,
Battle Tank,
Battleship (1993),
Battletoads,
Battletoads & Double Dragon,
Bee 52,
Beetlejuice,
Best of the Best: Championship Karate,
Bible Adventures,
Big Nose Freaks Out,
Big Nose the Caveman,
Bigfoot,
Bill & Ted's Excellent Video Game Adventure,
Bill Elliott's NASCAR Challenge,
Binary Land,
Bingo 75,
Bio Force Ape,
Bio Miracle Bokutte Upa,
Bio Senshi Dan: Increaser Tono Tatakai,
Bionic Commando (1988),
Blades of Steel (1988),
Blaster Master (1988),
Blockout (1991),
Bo Jackson Baseball,
Bobby Six Seven,
Bomberman (1983),
Bomberman II,
Bonk's Adventure (1989),
Booby Kids,
Boulder Dash (1984),
BRAM STOKER'S DRACULA,
Break Time: The National Pool Tour,
BreakThru (1986),
BS The Legend of Zelda,
Bubble Bath Babes,
Bubble Bobble (1986),
Bubble Bobble Part 2,
Bucky O'Hare,
Bump 'n' Jump,
Burai Fighter,
BurgerTime (1982),
B-Wings,
Cabal,
Caesar's Palace,
California Games,
Caltron 6 in 1,
Capcom's Gold Medal Challenge '92,
Captain America and The Avengers,
Captain Ed,
Captain Planet and the Planeteers,
Captain Skyhawk,
Captain Tsubasa II: Super Striker,
Casino Kid,
Castle of Deceit,
Castlequest,
Castlevania,
Castlevania II: Simon's Quest (1987),
Castlevania III: Dracula's Curse,
Castlevania: Chorus of Mysteries,
Castlevania: The Holy Relics,
Caveman Ughlympics,
Chack'n Pop,
Challenge of the Dragon,
Challenger (1985),
