Astro Chase
Ballblazer
Beamrider
Berzerk
Black Belt
Blue Print
Bounty Bob Strikes Back!
Centipede (1981)
Choplifter
Congo Bongo
Defender
Dig Dug (1982)
Frogger (1981)
Frogger II: ThreeeDeep!
Galaxian
Gorf
Gremlins
Gyruss (1988)
H.E.R.O.
James Bond 007
Joust
Jungle Hunt
K-Razy Shoot-Out
Kaboom!
Kangaroo
Keystone Kapers
Klax
Mario Bros. (1983)
Megamania
Miner 2049er
Miner 2049er (1982)
Missile Command (1980)
Montezuma's Revenge
Moon Patrol
Mountain King
Mr. Do's Castle
Ms. Pac-Man
Pac-Man
Pengo
Pitfall II: Lost Caverns
Pitfall! (1982)
Pole Position (1982)
Popeye
Q*bert
Qix (1990)
RealSports Football
RealSports Tennis
Rescue on Fractalus!
Return of the Jedi: Death Star Battle
River Raid
Robotron: 2084
Space Dungeon
Space Invaders (1978)
Space Shuttle: A Journey into Space
Star Raiders (1979)
Star Trek (1983)
Star Wars (1983)
Super Cobra
The Activision Decathlon
The Dreadnaught Factor
Vanguard (1981)
Wizard of Wor
Zaxxon
Zenji
