2020 SUPER BASEBALL,
3 Ninjas Kick Back,
A Dinosaur's Story,
A Super Mario Thing,
A.S.P. Air Strike Patrol,
Aaahh!!! Real Monsters,
ABC Monday Night Football,
ACME Animation Factory,
ActRaiser (1990),
ActRaiser 2,
Addams Family,
Addams Family Values,
Adventures of Yogi Bear,
Aero Fighters,
Aero the Acro-Bat,
Aero the Acro-Bat 2,
Aerobiz,
Aerobiz Supersonic,
Aguri Suzuki F-1 Super Driving,
Air Cavalry,
Al Unser Jr.'s Road to the Top,
Albert Odyssey,
Alfred Chicken,
Alien vs Predator (SNES),
ALIEN³,
American Gladiators,
An American Tail: Fievel Goes West,
Andre Agassi Tennis,
Animaniacs,
Another World,
Arabian Nights - Sabaku no Seirei Ou,
Araiguma Rascal: Racoon Rascal,
Arcade's Greatest Hits: The Atari Collection 1,
Arcana,
Arcus Odyssey,
Ardy Lightfoot,
Arkanoid: Doh It Again,
Art of Fighting (1992),
Asterix & Obelix,
Asterix (1993),
Axelay (1992),
B.O.B.,
Bahamut Lagoon,
Ball Bullet Gun: Survival Game Simulation,
Ballz,
Banshee's Last Cry,
Barbie: Super Model,
Barkley Shut Up and Jam!,
Bass Masters Classic: Pro Edition,
Bassin's Black Bass with Hank Parker,
Bastard!!,
Batman Forever,
Batman Returns (Nintendo),
Battle Blaze,
Battle Cars,
Battle Clash,
Battle Cross,
Battle Grand Prix,
Battle Jockey,
Battle Racers,
Battle Soccer,
BattleTech: A Game of Armored Combat,
Battletoads & Double Dragon,
Battletoads in Battlemaniacs,
Bebe's Kids,
Best of the Best: Championship Karate,
Big Sky Trooper,
Biker Mice from Mars (SNES),
Bill Laimbeer's Combat Basketball,
Bill Walsh College Football,
BioMetal,
Bishoujo Senshi Sailor Moon (1993),
Bishoujo Senshi Sailor Moon R,
Bishoujo Senshi Sailor Moon: Another Story,
Blackthorne,
BlaZeon,
Bobby's World,
Bomberman B-Danman,
Bomberman Panic Bomber,
Bombuzal (1988),
Boogerman: A Pick and Flick Adventure,
Boxing Legends of the Ring,
Brain Lord,
BRAM STOKER'S DRACULA,
Brandish,
Brandish 2: The Planet Buster,
Brawl Brothers (1992),
BreakThru!,
Breath of Fire (1993),
Breath of Fire II (1994),
Brett Hull Hockey,
Brett Hull Hockey '95,
Bronkie the Bronchiasaurus,
Brunswick World: Tournament of Champions,
Brutal: Paws of Fury,
BS The Legend of Zelda,
BS The Legend of Zelda - Ancient Stone Tablets,
Bubsy,
Bubsy 2,
Bubsy in Claws Encounters of the Furred Kind,
Bugs Bunny Rabbit Rampage,
Bulls vs. Blazers and the NBA Playoffs,
Bushi Seiryuuden: Futari no Yuusha,
Bust-A-Move,
Cacoma Knight in Bizyland,
Cal Ripken Jr. Baseball,
California Games II,
Cameltry (1989),
Cannon Fodder,
Capcom's MVP Football,
Captain America and The Avengers,
Captain Commando,
Captain Novolin,
Carrier Aces,
Casper,
Castlevania: Dracula X,
Castlevania: Rondo of Blood,
Champions World Class Soccer,
Championship Pool,
Chaos Seed,
Chester Cheetah: Too Cool to Fool,
Chester Cheetah: Wild Wild Quest,
Cho Aniki: Bakuretsu Ranto Hen,
Choplifter III,
Chrono Trigger,
Chrono Trigger: Crimson Echoes,
Chrono Trigger: Prophet's Guile,
Chuck Rock,
Civilization,
ClayFighter,
ClayFighter 2: Judgment Clay,
Claymates,
Cliffhanger,
Clock Tower (1995),
Clue,
College Slam,
Columns (1990),
Congo's Caper,
Contra III: The Alien Wars,
Cool Spot,
Cool World (1993),
Cotton 100%,
Crayon Shin-chan 2: Dai Maou no Gyakushu,
Crystal Beans From Dungeon Explorer,
Cutthroat Island,
Cyber Knight (1990),
Cyber Spin,
Cybernator (1992),
Daffy Duck: The Marvin Missions,
Darius Force,
Darius Twin (1991),
Dark Half,
Dark Law: Meaning of Death,
David Crane's Amazing Tennis,
Daze Before Christmas,
Demolition Man,
Demon's Crest (1994),
Dennis the Menace,
Der Langrisser,
Desert Strike,
D-Force (1991),
Dig & Spike Volleyball,
Digital Devil Story: Megami Tensei II,
DinoCity,
Dirt Racer,
Dirt Trax FX,
Disney’s Aladdin (1993),
Disney's Beauty and the Beast,
Disney's Bonkers: Hollywood Big Operations!,
Disney's Magical Quest,
Disney's Magical Quest 3 Starring Mickey & Donald,
Disney's The Jungle Book,
Disney's The Lion King,
Donald Duck no Mahou no Boushi,
Donald in Maui Mallard,
Donkey Kong Country,
Donkey Kong Country 2: Diddy's Kong Quest,
Donkey Kong Country 3: Dixie Kong's Double Trouble,
DOOM,
Doom Trooper,
Doom Troopers: Mutant Chronicles,
Doomsday Warrior,
Doraemon 2 - Nobita no Toys Land Daibouken,
Doraemon 3: Nobita to Toki no Hougyoku,
Doraemon 4: Nobita in the Moon Kingdom,
Doraemon: Nobita no Yousei no Kuni,
Do-Re-Mi Fantasy: Milon's Quest,
Double Dragon V: The Shadow Falls,
Doukyuusei 2 (SNES),
Dr. Mario,
Dragon Ball Z Chou Saiya Densetsu,
Dragon Ball Z: Hyper Dimension,
Dragon Ball Z: Super Saiya Densetsu,
Dragon Knight 4,
Dragon Quest 6: Realms of Revelation,
DRAGON QUEST V,
Dragon Slayer: The Legend of Heroes,
Dragon Slayer: The Legend of Heroes II,
Dragon View,
