After Burner
After Burner II
BC Racers
Blackthorne
Brutal: Paws of Fury
Corpse Killer
Cosmic Carnage
Darxide
Disney's Darkwing Duck
DOOM
Fahrenheit
FIFA International Soccer
FIFA Soccer 96
Golf Magazine: 36 Great Holes Starring Fred Couples
Knuckles' Chaotix
Kolibri
Metal Head
Mortal Kombat 2
Motocross Championship
NFL Quarterback Club
Night Trap
Ninja Gaiden III: The Ancient Ship of Doom (1991)
Pitfall: The Mayan Adventure
Primal Rage
Rayman
RBI Baseball '95
Romance of the Three Kingdoms IV: Wall of Fire
SegaSonic the Hedgehog
Shadow Squadron
Slam City with Scottie Pippen
Space Harrier (1986)
Star Trek: Starfleet Academy - Starship Bridge Simulator
Star Wars Arcade
Supreme Warrior
Surgical Strike
T-MEK
Tempo
The Amazing Spider-Man: Web of Fire
Toughman Contest
Virtua Fighter
Virtua Racing
World Series Baseball '95
World Series Baseball Starring Deion Sanders
WWF Raw
WWF WrestleMania: The Arcade Game
Zaxxon's Motherbase 2000
