007: Everything or Nothing
007: NightFire
2006 FIFA World Cup
A Sound of Thunder
Ace Combat Advance
Ace Lightning
Activision Anthology (2002)
Advance Guardian Heroes
Advance Wars
Advance Wars 2: Black Hole Rising
Adventure Island (1986)
Agassi Tennis Generation
Agent Hugo: RoboRumble
Aggressive Inline
Air Traffic Controller
AirForce Delta II: Storm
Alex Rider: Stormbreaker
Alien Hominid
Alienators: Evolution Continues
All Grown Up!: Express Yourself
All-Star Baseball
Altered Beast: Guardian of the Realms
American Bass Challenge
American Idol
An American Tail: Fievel's Gold Rush
Animaniacs: Lights, Camera, Action!
Antz Extreme Racing
Apotris
Archer Maclean's Pool
Arctic Tale
Army Men Advance
Army Men: Operation Green
Around the World in 80 Days (2004)
Arthur and the Invisibles: The Game
Asterix & Obelix XXL - Kick Buttix!
Asteroids (1979)
Astro Boy: Omega Factor
Atomic Betty
ATV Quad Power Racing
Avatar: The Last Airbender
Avatar: The Last Airbender - The Burning Earth
Avatar: The Last Airbender – The Burning Earth
Avatar: The Legend of Aang
Babar: To the Rescue
Back to Stone
Back Track
Backtrack
Backyard Baseball
Backyard Baseball 2001
Backyard Baseball 2006
Backyard Basketball 2004
Backyard Football (1999)
Backyard Hockey
Backyard Skateboarding
Backyard Sports Basketball 2007
Backyard Sports series
Baldur's Gate: Dark Alliance
Ballistic: Ecks vs. Sever
Balloon Fight (1985)
Banjo-Kazooie: Grunty's Revenge
Banjo-Pilot
Banshee's Last Cry
Barbie as the Island Princess
Barbie As The Princess And The Pauper
Barbie Horse Adventures: Blue Ribbon Race
Baseball Advance
Batman Begins
Batman: Rise of Sin Tzu
Batman: Vengeance
Battle B-Daman: Fire Spirits!
BattleBots: Beyond the BattleBox
Beyblade VForce: Ultimate Blader Jam
Beyblade: G-Revolution
Big Mutha Truckers
Bionicle Heroes
Bionicle: Matoran Adventures
Bionicle: Maze of Shadows
Bionicle: The Game
bit Generations
bit Generations: Soundvoyager
Black Matrix Zero
Blackthorne
Blender Bros.
Boktai 2: Solar Boy Django
Boktai: The Sun Is in Your Hand
Bomberman (1983)
Bomberman Jetters
Bomberman Max 2
Bomberman Tournament
Bookworm
Boulder Dash (1984)
Boxing Fever
Bratz
Bratz: Rock Angelz
Breakout (1976)
Breath of Fire (1993)
Breath of Fire II (1994)
Broken Sword 1 - The Shadow of the Templars
Bruce Lee: Return of the Legend
Bubble Bobble (1986)
Buffy the Vampire Slayer: Wrath of the Darkhul King
Cabbage Patch Kids: The Patch Puppy Rescue
Cabela's Big Game Hunter 2002
Cabela's Big Game Hunter 2005 Adventures
Calciobit
Capcom Classics Collection
Car Battler Joe (2001)
Cardcaptor Sakura: Sakura Card Hen ~Sakura to Card to O-Tomodachi~
Care Bears: Care Quest
Carrera Power Slide
Cars
Cars Mater-National Championship
Cartoon Network Speedway
Cartoon Network: Block Party
Casper
Castlevania
Castlevania: Aria of Sorrow
Castlevania: Circle of the Moon
Castlevania: Harmony of Dissonance
Castleween
Catwoman
Cave Story: Doukutsu Monogatari
Centipede (1981)
Challenger (1985)
Charlie and the Chocolate Factory (GBA)
Charlotte's Web
Chessmaster
Chessmaster (2003)
Chicken Little
Chicken Shoot (2007)
ChuChu Rocket!
CIMA: The Enemy
Classic NES Series
Clu Clu Land (1984)
Clue
Cocoto Platform Jumper
Codename: Kids Next Door: Operation S.O.D.A.
Colin McRae Rally 2.0
Collapse!
Columns Crown
Comix Zone
Contra III: The Alien Wars
Corvette
Crash Bandicoot 2: N-Tranced
Crash Bandicoot Purple: Ripto's Rampage
Crash Bandicoot: The Huge Adventure
Crash Nitro Kart
Crash of the Titans
Crazy Taxi: Catch a Ride
Crouching Tiger, Hidden Dragon
Cruis'n Velocity
CT Special Forces
CT Special Forces 2: Back in the Trenches
CT Special Forces 3: BioTerror
Curious George
Custom Robo GX
Daisenryaku
Daredevil
Darius
Dark Arena
Dave Mirra Freestyle BMX 2
Dave Mirra Freestyle BMX 3
David Beckham Soccer
Davis Cup Tennis
Dead to Rights
Deal or No Deal (2006)
Defender (Game Boy Advance)
Defender of the Crown
DemiKids: Light Version / Dark Version
Densetsu no Stafy
Densetsu no Stafy 2
Densetsu no Stafy 3
Derby Stallion
Desert Strike
Dexter's Laboratory: Chess Challenge
Dexter's Laboratory: Deesaster Strikes!
Dig Dug (1982)
Digimon Battle Spirit
Digimon Battle Spirit 2
Digimon Racing
Diner Dash
Dinotopia: The Timestone Pirates
Disney Piglet's Big Game
Disney Sports Basketball
Disney Sports Football
Disney Sports Skateboarding
Disney’s Aladdin (1993)
Disney's American Dragon: Jake Long, Rise of the Huntsclan
Disney's Atlantis: The Lost Empire
Disney's Brother Bear (GBA)
Disney's Extreme Skate Adventure
Disney's Herbie Rescue Rally
Disney's Kim Possible: Revenge of Monkey Fist
Disney's Lilo & Stitch (2002)
Disney's Lilo & Stitch 2: Hamsterviel Havoc
Disney's Magical Quest
Disney's Magical Quest 3 Starring Mickey & Donald
Disney's Party
Disney's Tarzan: Return to the Jungle
Disney's The Haunted Mansion
Disney's The Jungle Book
Disney's The Little Mermaid: Magic in Two Kingdoms
Disney's Winnie the Pooh's Rumbly Tumbly Adventure
Diving Corsola
DK King of Swing
DK: King of Swing
Dokapon: Monster Hunter
Domo-kun no Fushigi Terebi
Donkey Kong
Donkey Kong 3
Donkey Kong Country
Donkey Kong Country 2: Diddy's Kong Quest
Donkey Kong Country 3: Dixie Kong's Double Trouble
Donkey Kong Jr.
DOOM
DOOM II
Dora the Explorer: Pirate Pig's Treasure & Super Star Adventures
Double Dragon
Double Dragon Advance
Dr. Mario
Dr. Muto
Dr. Seuss' Green Eggs and Ham
Dr. Seuss' The Cat in the Hat (2005)
Dragon Ball GT: Transformation
Dragon Ball Z Collectible Card Game
Dragon Ball Z: Buu's Fury
Dragon Ball Z: Supersonic Warriors
Dragon Ball Z: Taiketsu
Dragon Ball Z: The Legacy of Goku
Dragon Ball Z: The Legacy of Goku II
Dragon Ball: Advanced Adventure
Dragon Quest Characters: Torneko no Daibōken 3
Dragon Quest Monsters: Caravan Heart
Drill Dozer
Driv3r Advance
Driven
Driver 2 Advance
Drome Racers
Droopy's Tennis Open
Dropzone (1984)
Dual Blades
Duke Nukem Advance
Dungeons & Dragons: Eye of the Beholder
Dynasty Warriors Advance
EA Sports F1 series
Earthworm Jim
Earthworm Jim 2
Ecks vs. Sever
Ed, Edd n Eddy: Jawbreakers!
Ed, Edd n Eddy: The Mis-Edventures
Egg Mania: Eggstreme Madness
Elemix!
Elevator Action Old & New
Elf Bowling
Eragon (DS/GBA)
Erementar Gerad: Tozasareshi Uta
ESPN Final Round Golf 2002
ESPN International Winter Sports 2002
ESPN X Games Skateboarding
Excitebike
Eye of the Beholder
F-14 Tomcat
F-Zero Climax
F-Zero: GP Legend
F-Zero: Maximum Velocity
Family Stadium
Fantastic Four
Fear Factor: Unleashed
FIFA 06
FIFA 07
FIFA 2004
FIFA Football 2003
FIFA Football 2004
FINAL FANTASY
Final Fantasy (1987)
Final Fantasy I & II Dawn of Souls
Final Fantasy I & II: Dawn of Souls
FINAL FANTASY II
Final Fantasy II (1988)
Final Fantasy IV (1991)
Final Fantasy Tactics Advance
FINAL FANTASY V
FINAL FANTASY VI
Final Fight One
Finding Nemo
Fire Emblem: Code of the Burger King
Fire Emblem: The Binding Blade
Fire Emblem: The Blazing Blade
Fire Emblem: The Sacred Stones
Fire Pro Wrestling (GBA)
Flushed Away
Fortress
Freekstyle
Frogger Advance: The Great Quest
Frogger's Adventures 2: The Lost Wand
Frogger's Adventures: Temple of the Frog
Frogger's Journey: The Forgotten Relic
From TV animation - One Piece: Mezase! King of Berry
From TV animation - One Piece: Nanatsu Shima no Daihihou
Fullmetal Alchemist: Omoide no Sonata
Fullmetal Alchemist: Stray Rondo
Gadget Racers
Galaxy Angel
Game & Watch Gallery 4
Ganbare Goemon! Karakuri Douchuu
Garfield and His Nine Lives
Garfield: The Search for Pooky
Gauntlet (1985)
Gauntlet Dark Legacy
Gekido Advance: Kintaro's Revenge
Gem Smashers (2003)
Gensou Suikoden: Card Stories
Ghost Rider (2007)
Ghosts 'n Goblins (1985)
Go! Go! Beckham! Adventure on Soccer Island
Gods
Godzilla: Domination!
Golden Nugget Casino DS
Golden Sun
Golden Sun: The Lost Age
Golf (1980)
Gradius Advance
Grand Theft Auto Advance
Gravitar
Greg Hastings Tournament Paintball MAX'D
Greg Hastings' Tournament Paintball Max'd
Grug’s Primitive Disadventure
GT Advance 2: Rally Racing
GT Advance 3: Pro Concept Racing
GT Advance Championship Racing
GT Racers
Guilty Gear X
Gumby vs. The Astrobots
Gundam Seed Destiny
Gundam: Battle Assault
Gunstar Super Heroes
Guru Logi Champ
Hamtaro: Ham-Ham Games
Hamtaro: Ham-Ham Heartbreak
Hamtaro: Rainbow Rescue
Happy Feet
Harem Fantasy: Good or evil will save the world
Harobots
Harry Potter and the Goblet of Fire (GBA/NDS)
Harry Potter and the Order of the Phoenix
Harry Potter and the Prisoner of Azkaban (GBA)
Harry Potter and the Sorcerer's Stone
Harry Potter: Quidditch World Cup
Haruka: Beyond the Stream of Time
Harukanaru Toki no Naka de
Harvest Moon: Friends of Mineral Town
Harvest Moon: MORE friends of Mineral Town
Harvest Time
Hatena Satena
Heart of Darkness
Hey Arnold!: The Movie
Hi Hi Puffy AmiYumi: Kaznapped!
Higanbana no Saku Yoru ni
High Heat Major League Baseball
High Heat Major League Baseball 2003
Home on the Range
Horsez
Hot Potato
Hot Wheels All Out
Hot Wheels: Burnin' Rubber
Hot Wheels: Stunt Track Challenge (GBA)
Hot Wheels: Velocity X (GBA)
Hot Wheels: World Race
Hugo: The Evil Mirror
Ice Age
Ice Age 2: The Meltdown (GBA)
Ice Climber
Ice Nine
Inspector Gadget: Advance Mission
International Karate
International Karate +
International Superstar Soccer
Iridion 2
Iridion 3D
Iridion II
Island Xtreme Stunts
It's Mr. Pants
Jackie Chan Adventures
James Pond 2: Codename Robocod
Jazz Jackrabbit (2002)
Jet Set Radio
Jimmy Neutron vs. Jimmy Negatron
Jimmy Neutron: Boy Genius
Jonny Moseley Mad Trix
Juka and the Monophonic Menace
Jurassic Park
Jurassic Park III: Island Attack
Jurassic Park III: Park Builder
Jurassic Park III: The DNA Factor
Justice League Heroes: The Flash
Justice League: Chronicles
Justice League: Injustice for All
Kagetsu Tohya
Kao the Kangaroo (GBA)
Karnaaj Rally
Keitai Denjuu Telefang 2
Kelly Slater's Pro Surfer
Kid Icarus (1986)
Kid Klown in Crazy Chase
Kidou Senshi Z-Gundam: Hot Scramble
Kill Switch
Kim Possible 2: Drakken's Demise
Kingdom Hearts: Chain of Memories
Kirby & the Amazing Mirror
Kirby Puzzle
Kirby: Nightmare in Dream Land
Kirby's Adventure
Klax
Klonoa 2: Dream Champ Tournament
Klonoa Heroes: Legendary Star Medal
Klonoa: Empire of Dreams
Konami Collector's Series: Arcade Advanced
Konami Krazy Racers
Koro Koro Puzzle Happy Panechu!
Kuru Kuru Kururin
Kururin Paradise
Lady Sia
Lara Croft Tomb Raider: Legend
LarryBoy and the Bad Apple
Legends of Wrestling II
Lego Bionicle
LEGO Island 2: The Brickster's Revenge
Lego Knights' Kingdom
LEGO Racers 2
Lego Racers 2 (2001)
LEGO Soccer Mania
Lego Star Wars II: The Original Trilogy
Lego Star Wars: The Video Game
Lemony Snicket's A Series of Unfortunate Events (GBA)
Lode Runner (1983)
Looney Tunes: Back in Action
Love Hina Advance
Lufia: The Ruins of Lore
Lunar Lander
Lunar Legend
Madagascar
Madagascar: Operation Penguin
Madden NFL 06
Madden NFL 07
Madden NFL 2002
Madden NFL 2003
Madden NFL 2004
Madden NFL 2005
Magi Nation
Magical Vacation
Major League Baseball 2K7
Manic Miner (1983)
MAPPY
Marble Madness
Mario & Luigi: Superstar Saga
Mario Bros. (1983)
Mario Golf: Advance Tour
Mario Kart: Super Circuit (2001)
Mario Party
Mario Party Advance
Mario Pinball Land
Mario Tennis: Power Tour
Mario vs. Donkey Kong (2004)
Marvel Ultimate Alliance
Masters of the Universe - He-Man: Power of Grayskull
Mat Hoffman's Pro BMX
Mat Hoffman's Pro BMX 2
Max Payne Advance
Mazes of Fate
Mech Platoon
Medabots
Medabots: Metabee
Medabots: Rokusho
Medal of Honor: Infiltrator
Medal of Honor: Underground
Meet the Robinsons
Mega Man & Bass (1998)
Mega Man Anniversary Collection
Mega Man Battle Network
Mega Man Battle Network 2
Mega Man Battle Network 3
Mega Man Battle Network 4
Mega Man Battle Network 4.5: Real Operation
Mega Man Battle Network 5
Mega Man Battle Network 6
Mega Man Zero
Mega Man Zero 2
Mega Man Zero 3
Mega Man Zero 4
Mega Man: Battle Chip Challenge
MegaMan Zero
MegaMan Zero 2
