10-in-1: Arcade Collection
1001 Spikes
101 DinoPets 3D
101 Penguin Pets 3D
101 Pony Pets 3D
12-Sai. Honto no Kimochi
2 Fast 4 Gnomz
35 Junior Games
3D After Burner II
3D Altered Beast
3D Classics Excitebike
3D Classics: Kid Icarus
3D Classics: Kirby's Adventure
3D Classics: TwinBee
3D Classics: Urban Champion
3D Classics: Xevious
3D Ecco the Dolphin
3D Fantasy Zone
3D Fantasy Zone II
3D Galaxy Force II
3D Game Collection
3D Gunstar Heroes
3D MahJongg
3D Out Run
3D Retro Dungeon Puzzle Challenge
3D Shinobi III
3D Shinobi III: Return of the Ninja Master
3D Solitaire
3D Sonic The Hedgehog
3D Sonic The Hedgehog 2
3D Space Harrier
3D Streets of Rage
3D Streets of Rage 2
3D Super Hang-On
3D Thunder Blade
4 Elements
50 Classic Games 3D
50 PINCH BARRAGE!!
6180 the moon
6x1/=UNLIMITED
7th Dragon III Code: VFD
80'S OVERDRIVE
A Boy and His Blob
A-Train 3D: City Simulator
Ace Attorney 6
Ace Combat Assault Horizon Legacy
ACE COMBAT ASSAULT HORIZON LEGACY +
Ace Combat: Assault Horizon Legacy
Acrylic Palette: Irodori Cafe - Cheers
Adventure Bar Story
Adventure Island II (3DS)
Adventure Labyrinth Story
Adventure Time: Explore the Dungeon Because I DON'T KNOW!
Adventure Time: Finn and Jake Investigations
Adventure Time: Hey Ice King Why'd you steal our garbage?!!
Adventure Time: The Secret of the Nameless Kingdom
ADVENTURES OF LOLO
AERO PORTER
AeternoBlade
Air Battle Hockey 3D
AiRace Speed
AiRace Xeno
Akari by Nikoli
AKB48+Me
Alchemic Dungeons
Alien Chaos 3D
Alien On The Run
Alleyway
Alphadia
Alter World
Altered Beast (1988)
Ambition of the Slimes
Angler's Club: Ultimate Bass Fishing 3D
Angry Birds Star Wars
Angry Birds Trilogy
Angry Bunnies
Angry Video Game Nerd Adventures
Animal Crossing: Happy Home Designer
Animal Crossing: New Leaf
Animal Crossing: New Leaf - Welcome amiibo
Anime Workshop
Anpanman to Asobo: New Aiueo Kyoushitsu
Antipole DX
Apollo Justice: Ace Attorney
Aqua Moto Racing 3D
AR Games
ARC STYLE: Baseball 3D
ARC STYLE: Happy Ocean
ARC STYLE: Soccer 3D
ARC STYLE: Solitaire
Arcade Archives: City Connection
Arcade Classics 3D
Are You Smarter Than a 5th Grader?
Art Academy: Lessons for Everyone!
Art of Balance TOUCH!
Ascent of Kings
Asdivine Cross
Ash
Asphalt 3D
Asterix The Mansions of the Gods
Astro
Atelier Rorona: The Alchemist of Arland 3DS
Atlantic Quest
Attack of the Friday Monsters! A Tokyo Tale
Attack on Titan: Humanity in Chains
ATV Wild Ride 3D
Aura-Aura Climber
Avenging Spirit
Avenging Spirit (1991)
Azada
Azito 3D
Azure Snake
Azure Striker Gunvolt
Azure Striker Gunvolt 2
Azure Striker Gunvolt: Striker Pack
Azure Striker Gunvolt: The Anime
BAKERU
Balloon Fight (1985)
Balloon Kid
Balloon Kid (1990)
Balloon Pop Remix
Banana Bliss: Jungle Puzzles
Baseball
Bases Loaded
Bases Loaded (1987)
Batman: Arkham Origins Blackgate
Battle City
Battle of Giants: Dinosaur Strike
Battleminer
Battleminerz
BATTLESHIP
BearShark
Bella Sara - The Magical Horse Adventures
Ben 10 Galactic Racing
Ben 10 Omniverse
Ben 10 Omniverse 2
Best of Arcade Games - Air Hockey
Best of Arcade Games - Brick Breaker
Best of Arcade Games - Bubble Buster
Best of Arcade Games - Tetraminos
Best of Board Games - Chess
Best of Board Games - Mahjong
Best of Board Games - Solitaire
Best of Casual Games
Best of Mahjong
Best of Solitaire
Beyblade Evolution
Beyond the Labyrinth
Big Bass Arcade: No Limit
Big Hero 6 Battle in the Bay
Bike Rider DX
BIKE RIDER DX2: GALAXY
Bikkuriman Kanjuku Haoh: Sanmi Douran Sensouki
Bingo Collection
Bionic Commando: Elite Forces
Bird Mania 3D
Bird Mania Christmas 3D
Bit Boy!! Arcade
Bit Dungeon Plus
Bit.Trip Saga
Blast 'Em Bunnies
Blast Ball
Blaster Master EX
Blaster Master Zero
Blaster Master: Enemy Below (2000)
BLAZBLUE -CLONEPHANTASMA
BlazBlue: Clone Phantasma
BlazBlue: Continuum Shift II
Block-a-Pix Color
BlockForm
BLOK DROP CHAOS
Bloo Kid 2
Bloodstained: Curse of the Moon
Bloody Vampire
Boku no Hero Academia: Battle for All
Boku wa Koukuu Kanseikan: Airport Hero 3D - Shin Chitose with JAL
Bomb Monkey
Bonds of the Skies
Boulder Dash-XL 3D
Bowling Bonanza 3D
BOX UP
BoxBoxBoy!
BoxBoy!
Boxzle
Brain Age: Concentration Training
Bratz: Fashion Boutique
Brave Dungeon
Brave Tank Hero
Bravely Default
Bravely Second: End Layer
Breakout Defense
Breakout Defense 2
Breath of Fire (1993)
Breath of Fire II (1994)
BRICK RACE
BRICK THRU
Brilliant Hamsters!
Brunch Panic
Bubble Bobble (1986)
Bubble Pop World
BUGS vs. TANKS!
Bugs'N'Balls
Burger Time Deluxe
Bust-a-Move Universe
Butterfly: Inchworm Animation II
Bye-Bye BoxBoy!
Calciobit
Candy Match 3
Candy, Please!
Captain America: Super Soldier
Captain Toad: Treasure Tracker
CardFight!! Vanguard G: Stride to Victory!!
Cardfight!! Vanguard: Lock On Victory!!
Cardfight!! Vanguard: Ride to Victory
Carnival Games Wild West 3D
Carps & Dragons
Cartoon Network: Battle Crashers
Castle Clout 3D
Castle Conqueror Defender
Castle Conqueror EX
Castlevania
Castlevania II: Simon's Quest (1987)
Castlevania III: Dracula's Curse
Castlevania: Lords of Shadow - Mirror of Fate
Castlevania: The Adventure (1989)
Catrap
Cats & Dogs: Pets at Play
Cave Story 3D
Cave Story+
Cazzarion
Centipede: Infestation
Chain Blaster
Challenger (1985)
Chari-Sou DX
Chase: Cold Case Investigations ~Distant Memories~
Chat-A-Lot
Chevrolet Camaro Wild Ride
Chibi-Robo! Zip Lash
Chibi-Robo!: Photo Finder
Chicken Wiggle
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi
Choujin Ultra Baseball Card Battle
Christmas Night Archery
Christmas Wonderland 3
Christmas Wonderland 4
Chronus Arc
Citizens of Earth
City Mysteries
CITY SKATERS: RUN BOY, RUN GIRL!
Classic Games Overload: Card and Puzzle Edition
Cloudy With a Chance of Meatballs 2
Clu Clu Land
Clu Clu Land (1984)
Club Nintendo Picross
Club Nintendo Picross+
Coaster Creator 3D
Cocoro - Line Defender
Cocoto Alien Brick Breaker
Code Name: S.T.E.A.M.
Code of Princess
Collide-a-Ball
COLOR CUBES
Color Zen
Color Zen Kids
Colors! 3D
Columns
Columns (1990)
Combat of Giants Dinosaurs 3D
Comic Workshop
Comic Workshop 2
Conception II: Children of the Seven Stars
Conveni Dream
Cooking Mama 4: Kitchen Magic
Cooking Mama 5: Bon Appétit!
Cooking Mama: Sweet Shop
Corpse Party
Crash 'n' the Boys: Street Challenge (2009)
Crash City Mayhem
Crash Time 3D
Crashmo
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!
Crazy Chicken Pirates 3D
Crazy Chicken: Director's Cut
Crazy Chicken: Director's Cut 3D
Crazy Construction
Crazy Kangaroo
Creeping Terror
CRIMSON SHROUD
Crollors Game Pack
Crosswords Plus
Crush (SEGA)
CRUSH 3D
Crystal Warriors
Crystareino
Cube Creator 3D
Cube Creator DX
Cube Tactics
Cubic Ninja
Cubit The Hardcore Platformer Robot
Culdcept Revolt
Cult County
CUP CRITTERS
Cursed Castilla
Cut the Rope
Cut the Rope: Triple Treat
Cycle of Eternity: Space Anomaly
Dai Gyakuten Saiban 2: Naruhodō Ryūnosuke no Kakugo (Ace Attorney)
Dai Gyakuten Saiban: Naruhodō Ryūnosuke no Bōken
