2021: Moon Escape
2nd Super Robot Wars
Aah! Harimanada
Adventure Island II (1991)
Adventure Island III (1992)
Adventures of Lolo (1989)
Aerostar
After Burst
Aguri Suzuki F-1 Super Driving
Alfred Chicken
Alien Olympics 2044 AD
ALIEN³
All-Star Baseball '99
Alleyway
Altered Space
Amazing Penguin
Amazing Tater
Animaniacs
Aretha
Armored Police Metal Jack
Asmik-kun World 2
Asterix (1993)
Asterix & Obelix
Asteroids (1979)
Astro Rabby
Atomic Punk
Attack of the Killer Tomatoes
Avenging Spirit (1991)
Ayakashi no Shiro
Balloon Fight (GameBoy)
Balloon Kid (1990)
Barbie: Game Girl
Bart Simpson's Escape from Camp Deadly
Baseball (1983)
Bases Loaded (1987)
Batman Forever
Batman: Return of the Joker
Batman: The Animated Series
Batman: The Video Game
Battle Arena Toshinden
Battle Bull
Battle City
Battle Pingpong
Battle Unit Zeoth
Battleship (1993)
Battletoads
Battletoads & Double Dragon
Battlezone (1980)
Beatmania
Beetlejuice
Best of the Best: Championship Karate
Bill & Ted's Excellent Game Boy Adventure: A Bogus Journey!
Bill Elliott's NASCAR Challenge
Bill Elliott's NASCAR Fast Tracks
Bionic Commando (1987)
Bishoujo Senshi Sailor Moon (1993)
Black Bass: Lure Fishing
Blades of Steel (1988)
Blaster Master Jr.
Bomb Jack
Bomberman GB
Bonk
Bonk's Adventure (1989)
Bonk's Adventure Land Kingdom (GB)
Bonk's Revenge (1991)
Boomer's Adventure in ASMIK World
Boulder Dash (1984)
Boxing (1980)
Boxxle
BRAM STOKER'S DRACULA
Breakout (1976)
BreakThru!
Bubble Bobble (1986)
Bubble Bobble Part 2
Bubble Ghost
Bubsy 2
Burai Fighter
BurgerTime (1982)
Captain America and The Avengers
Casper
Castlevania II: Belmont's Revenge
Castlevania Legends
Castlevania: The Adventure (1989)
Cave Noire
Centipede (1981)
Championship Pool
Chase H.Q.
Chikyū Kaihō Gun ZAS
Choplifter II
Choplifter III
Chuck Rock
Cliffhanger (1993)
Colin McRae Rally (1998)
College Slam
Contra III: The Alien Wars
Cool World (1993)
Cosmo Tank
Crash 'n' the Boys: Street Challenge (1992)
Crayon Shin-Chan: Ora no Gokigen Collection
Crystal Quest (1987)
Cutthroat Island
Daedalian Opus
Daffy Duck: The Marvin Missions
Daisenryaku
Darius
Darius II
Darkman
Days of Thunder
Dead Heat Scramble
Deadeus
Dennis the Menace
