’90s Arcade Racer
007 Legends
1001 Spikes
1080º Snowboarding
140
153 Hand Video Poker
360 Breakout
3Souls
6-Hand Video Poker
6180 the moon
8Bit Hero
99Moves
99Seconds
A Cowboy's Tale
A Day at the Carnival
A World of Keflings
Absolutely Unstoppable MineRun
Abyss
ACE - Alien Cleanup Elite
ACT IT OUT XL! A Game of Charades
Advance Wars
Advance Wars 2: Black Hole Rising
Advance Wars: Dual Strike
Adventure Party: Cats and Caverns
Adventure Time: Explore the Dungeon Because I DON'T KNOW!
Adventure Time: Finn and Jake Investigations
ADVENTURES OF LOLO
Adventures of Pip
Aenigma Os
Affordable Space Adventures
Alice in Wonderland (2016)
ALIEN CRUSH
Alphadia Genesis
Amiibo Tap: Nintendo's Greatest Bits
Andrecca
Angry Birds Star Wars
Angry Birds Trilogy
Angry Bunnies: Colossal Carrot Crusade
Angry Video Game Nerd Adventures
Animal Crossing Plaza
Animal Crossing: Amiibo Festival
Animal Crossing: Wild World
Animal Gods
Annihilation
Antipole DX
Aperion Cyberstorm
Aqua Moto Racing Utopia
Aqua TV
Archery by Thornbury Software
Armikrog
Armillo
Armored ACORNs: Action Squirrel Squad
Arrow Time U
Art Academy: Home Studio
Art Academy: SketchPad
Art of Balance
Ascent of Kings
Asdivine Hearts
Assassin’s Creed III
Assassin’s Creed IV: Black Flag
Asteroid Quarry
Astral Breakers
Ava and Avior Save the Earth
AVOIDER
AXELAY
Axiom Verge
Azure Snake
B3 Game Expo For Bees
Back to Bed
Baila Latino
Ballpoint Universe - Infinite
Baseball
Baseball Simulator 1.000
Baseball Simulator 1000
Bases Loaded
Bases Loaded (1987)
Batman: Arkham City Armored Edition
Batman: Arkham Origins Blackgate - Deluxe Edition
Battle Chopper
Battle City
BATTLE LODE RUNNER (2017)
Bayonetta
Bayonetta 2
Bayonetta 2 with bonus Bayonetta disc
Beatbuddy
Ben 10 Omniverse
Ben 10 Omniverse 2
Big Brain Academy
Bigley's Revenge
Bike Rider UltraDX - WORLD TOUR
Bird Mania Party
bit Dungeon+
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
Blackjack 21
Blaster Master (Wii)
Blek
BLOC
Block Zombies!
Blockara
Blocky Bot
Blok Drop U
Blok Drop X: Twisted Fusion
Blue-Collar Astronaut
Bomberman '93 (2017)
BOMBERMAN '94
Bomberman 64
Bomberman 64 (1997)
Bomberman Panic Bomber
Bombing Bastards
Booty Diver
BOX UP
Brain Age: Train Your Brain in Minutes a Day!
Brave Tank Hero
Brawl Brothers
Brawl Brothers (1992)
Break in (2017)
Breakout Defense
Breakout Defense 2
Breath of Fire (1993)
Breath of Fire II (1994)
Breezeblox
BRG's Alice in Wonderland Visual Novel
Brick Breaker
BRICK RACE
BrickBlast U!
Bridge Constructor Playground
Brunswick Pro Bowling
Bubble Bobble (1986)
Bubble Gum Popper
Cabela's Big Game Hunter Pro Hunts
Cabela's Dangerous Hunts 2013
Cake Ninja 3: The Legend Continues
Call of Duty: Black Ops II
Call of Duty: Ghosts
Call of Nightmare
Candy Hoarder
Canvaleon
Captain Toad: Treasure Tracker
Car Battler Joe
Cars 3: Driven to Win
CastleStorm
Castlevania
Castlevania II: Simon's Quest (1987)
Castlevania III: Dracula's Curse
Castlevania: Aria of Sorrow
Castlevania: Circle of the Moon
Castlevania: Harmony of Dissonance
Championship Lode Runner
Chariot
Chasing Aurora
Chasing Dead
Chests O' Booty
Chew Man Fu
Child of Light
China Warrior
Chompy Chomp Chomp Party
Christmas Adventure of Rocket Penguin
Chroma Blast
Chronicles of Teddy: Harmony of Exidus
Chubbins
ChuChu Rocket!
Circus Charlie
Citadale
Citadale: The Legends Trilogy
Citizens of Earth
Cloudberry Kingdom
Clu Clu Land
Clu Clu Land (1984)
Coaster Crazy Deluxe
Cocoto Magic Circus 2
Collateral Thinking
Colony Capture
COLOR BOMBS
COLOR CUBES
Color Symphony 2
Color Zen
Color Zen Kids
CONTRA ADVANCE THE ALIEN WARS EX
COQUI THE GAME
Cosmophony
Costume Quest 2
Crab Cakes Rescue
Crash 'n' the Boys: Street Challenge (2009)
Crunchyroll
Crush Insects
Cryamore
CRYSTORLD
Cube Blitz
Cube Life: Island Survival
Cube Life: Pixel Action Heroes
Cubemen 2
Cubeshift
Cubit The Hardcore Platformer Robot HD
CUP CRITTERS
Custom Robo V2
Cutie Clash
Cutie Pets Go Fishing
Cutie Pets Jump Rope
Cutie Pets Pick Berries
Cybernator
Cycle of Eternity: Space Anomaly
Daikon Set
Dare Up Adrenaline
Darius Twin (1991)
Darksiders II
Darksiders Warmastered Edition
Darts Up
Defend Your Crypt
Defense Dome
Demon's Crest (1994)
Demonic Karma Summoner
DETANA TWIN BEE
Deus Ex: Human Revolution - Director's Cut
Devil World
Devil's Crush
Devil's Crush (1990)
Devil's Third
DIG DUG
Dig Dug (1982)
DIG DUG II
Dig Dug II (1985)
Digital Champ Battle Boxing
Dinox
Discovery
Disney Epic Mickey 2: The Power of Two
Disney Infinity
Disney Infinity 2.0
Disney Infinity 3.0
Disney Planes
DK: Jungle Climber
DK: King of Swing
Dodge Club Party
Dolphin Up
DON'T CRASH
Don't Starve
Don't Touch Anything Red
Donkey Kong
Donkey Kong 3
Donkey Kong Country
Donkey Kong Country 2: Diddy's Kong Quest
Donkey Kong Country 3: Dixie Kong's Double Trouble
Donkey Kong Country Returns
Donkey Kong Country: Tropical Freeze
Donkey Kong Jr.
Donkey Kong Jr. Math
Donkey Kong Jungle Beat
Dot Arcade
Double Breakout
Double Breakout II
Double Dragon II: The Revenge
Double Dragon III: The Sacred Stones (1991)
Double Dungeons
Dr Kawashima's Brain Training
Dr. Luigi
Dr. Mario
Dracula's Legacy
Dragon Fantasy: The Black Tome of Ice
Dragon Fantasy: The Volumes of Westeria
Dragon Quest X
Dragon Skills
Draw 2 Survive
Draw a Stickman: EPIC 2
Dreamals
Dreamals: Dream Quest
Drill Dozer (Wii)
Drop It: Block Paradise!
Dual Core
Duck Hunt (1984)
DuckTales: Remastered
Dungeon Hearts DX
Dungeons & Dragons: Chronicles of Mystara
Dying is Dangerous
EA SPORTS FIFA Soccer 13
Earth Defense Force
EARTHLOCK: Festival of Magic
Eba & Egg: A Hatch Trip
Ectoplaza
Edge
Educational Pack of Kids Games
Electronic Super Joy
Electronic Super Joy: Groove City
Elliot Quest
Emojikara: A Clever Emoji Match Game
Endless Golf
Epic Dumpster Bear
Escape From Flare Industries
ESPN Sports Connection
Evofish
Excitebike
Excitebike 64
Excitebike 64 (2000)
Excitebots: Trick Racing
Exile's End
Explody Bomb
Extreme Exorcism
F-Zero (Wii U)
F-Zero Maximum Velocity (Wii U)
F-Zero X (Wii U)
F-Zero: GP Legend (Wii U)
Factotum
Falling Skies: The Game
Family Party: 30 Great Games Obstacle Arcade
Family Tennis SP
Fast & Furious: Showdown
Fast Racing Neo
Fat City
Fat Dragons
Fatal Frame: Maiden of Black Water
Fated By Chain
FIFA 13
FIFTEEN
Final Fantasy (1987)
Final Fantasy II (1988)
Final Fantasy Mystic Quest (1992)
Final Fight 2
Final Fight 3
Fire Emblem: Shadow Dragon
Fire Emblem: The Blazing Blade
Fist of the North Star: Ken's Rage 2
Fit Music
Fit Music for Wii U
Flapp & Zegeta
Flight of Light
Flowerworks HD: Follie's Adventure
Flying Dragon: The Secret Scroll
Flying Warriors
Flying Warriors (1991)
FORCED
Forest Escape
forma.8
Frederic: Resurrection of Music
Free Balling
Freedom Planet
FreezeME
Frenchy Bird
Front Line
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party
FullBlast
Funk of Titans
Funky Barn It's Farming!
Funky Physics
GAIABREAKER
Galaga
Galaga (1981)
GALAXY BLASTER
Game & Wario
Game Party Champions
Games for Toddlers
Gear Gauntlet
Gemology
Genghis Khan II: Clan of the Gray Wolf (1992)
GEOM
GetClose: A game for RIVALS
Ghost Blade
Ghosts 'N Goblins
Ghosts 'n Goblins (1985)
Giana Sisters: Twisted Dreams
Giana Sisters: Twisted Dreams - Director's Cut
Ginsei Shogi: Kyoutendo Toufuu Raijin
Girls Like Robots
Golf
Golf (1980)
Gradius
GRADIUS II GOFER NO YABOU
Grand Prix Rock 'N Racing
GravBlocks+
Gravity Badgers
Gravity+
Grumpy Reaper
Guacamelee! Super Turbo Championship Edition
Guitar Hero Live
Gunman Clive HD Collection
Harvest Moon
Harvest Moon 64 (1999)
Harvest Moon: Friends of Mineral Town (Wii)
Harvest Moon: MORE friends of Mineral Town
Heart Forth, Alicia
Hello Kitty Kruisers
Heptrix
High Strangeness
Hive Jump
Hogan's Alley (Wii U)
Hold Your Fire: A Game About Responsibility
Horror Stories
Hot Rod Racer
Hot Wheels: World's Best Driver
How to Survive
How To Train Your Dragon 2
Human Resource Machine
Humanitarian Helicopter
Hurry Up! Bird Hunter
Hyrule Warriors
I C REDD
I've Got to Run!
Ice Climber
Ice Cream Surfer
Ice Hockey
Ice Hockey (1981)
IMAGEFIGHT
IMAGEFIGHT 2
Infinity Runner
Injustice: Gods Among Us
Insect Planet TD
Inside My Radio
Internal Invasion
INVANOID
IQ Test
Island Flight Simulator
Ittle Dew
JACKPOT 777
JEOPARDY!
JetGetters
Jett Tailfin
Jewel Quest
Job the Leprechaun
Joe's Diner
Jolt Family Robot Racer
Jones On Fire
Journey of a Special Average Balloon
Just Dance 2014
Just Dance 2015
Just Dance 2016
Just Dance 2017
Just Dance 2018
Just Dance 2019
Just Dance 4
Just Dance Kids 2014
Just Dance: Disney Party 2
Kamen Rider: Battride War II
KEYTARI: 8-bit Music Maker
Kick & Fennick
Kid Icarus
Killer Freaks from Outer Space
Kingdom of 12 Doors
Kirby & The Amazing Mirror (Wii U)
Kirby and the Rainbow Curse
Kirby Mass Attack
Kirby Squeak Squad
Kirby Super Star
Kirby: Canvas Curse
Kirby: The Crystal Shards (Wii)
Kirby's Adventure
Kirby's Dream Course
Kirby's Dream Land 3
Kirby's Dream Land 3 (1997)
