1941: Counter Attack
Aero Fighters
Aero Fighters 2
Aero Fighters 3
Aggressors of Dark Kombat
Alpha Mission II
Andro Dunos
Art of Fighting (1992)
Art of Fighting 3: The Path of The Warrior
Bang Bang Busters
Bang Bead
Baseball Stars (NGP)
Baseball Stars Color
Bishi Bashi
BLAZING STAR
BLUE'S JOURNEY
Bomberman Panic Bomber
Buriki One
Bust-A-Move
Captain Tomaday
Columns (1990)
Cool Cool Jam
Cotton: Fantastic Night Dreams
Crossed Swords
Crush Roller
Cyber Lip
Dark Arms: Beast Buster
Densetsu no Oga Batoru Gaiden Zenobia no Oji
Double Dragon (Neo-Geo)
Eight Man
Evolution: Eternal Dungeons
Far East of Eden: Kabuki Klash
Fast Striker
Fatal Fury 2 (1992)
Fatal Fury Special
Fatal Fury: King of Fighters
Flip shot
Galaxy Fight: Universal Warriors
Garou: Mark of the Wolves
Ghost Pilots
Gunlord
Gururin
Iron Clad
Joy Joy Kid
King of Fighters R-1
King of Fighters R-2
KING OF THE MONSTERS
King of the Monsters 2: The Next Thing
Last Hope (2006)
Last Resort (NEOGEO)
Magical Drop II
Magical Drop III
METAL SLUG
METAL SLUG 2
METAL SLUG 3
Metal Slug 4
Metal Slug 5
Metal Slug: 1st Mission
Metal Slug: 2nd Mission
Money Puzzle Exchanger
Mutation Nation
NAM-1975
Neo Bomberman
Neo Mr Do
NEO TURF MASTERS
Neo XYX
Nightmare in the Dark
NINJA COMMANDO
NINJA MASTER'S
Over Top
Pac-Man
Pochi and Nyaa
Pop'n Bounce
Prehistoric Isle 2
Pulstar (1995)
Puyo Pop
Puyo Puyo Tsu
Puzzle Bobble Plus!
Puzzle Link
Puzzle Link 2
Ragnagard
Real Bout Fatal Fury Special
Robo Army
Rockman Battle & Fighters
Samurai Shodown
SAMURAI SHODOWN II
Samurai Shodown III: Blades of Blood
SENGOKU I
SENGOKU II
SENGOKU III
SHOCK TROOPERS
SNK vs. Capcom: Card Fighters Clash
SNK vs. Capcom: SVC Chaos
SNK vs. Capcom: The Match of the Millennium
Soccer Brawl
Spinmaster
Super Baseball 2020
The Gladiator: Road of the Sword
The Irritating Maze
The King of Fighters '95
The King of Fighters '96
THE KING OF FIGHTERS '97
The King of Fighters '99
THE KING OF FIGHTERS 2000
The King of Fighters 2001
THE KING OF FIGHTERS 2002
The King of Fighters 2003
The Last Blade (1997)
The Last Blade 2
The Super Spy
Thrash Rally
Top Hunter: Roddy & Cathy
Twinkle Star Sprites (1996)
Viewpoint
Waku Waku 7
Windjammers
World Heroes (1993)
World Heroes 2 (1993)
World Heroes 2 Jet (1994)
WORLD HEROES PERFECT
Zed Blade
Zintrick
ZuPaPa!
